"multa","rating","place","date","monetaryAmount","descuento","denunciante","causa","coordenadas","city"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/2122831","GRAVE","M 30 KM 27 C 2","2023-09-01T07:28Z","500",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/9908217","GRAVE","M 30 KM 16,53 XC","2023-09-01T05:36Z","500",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/3849759","GRAVE","M 30 KM 16,530 XC","2023-09-01T03:29Z","500",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/9137997","GRAVE","M 30 KM 6,700 CR 2 CALZADA 1","2023-09-01T01:31Z","500",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/892483","GRAVE","O'DONNELL F 62","2023-09-01T01:05Z","500",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/5673992","GRAVE","M 30 KM 27 CALZADA 2","2023-09-01T20:44Z","500",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/6067592","GRAVE","A 5 KM 4","2023-09-01T10:20Z","500",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/9259554","GRAVE","M 30 KM 6,700 CR 3 CALZADA 1","2023-09-01T06:58Z","400",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/7993267","GRAVE","A 5 KM 4","2023-09-01T03:02Z","500",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/8360636","GRAVE","M 30 XC KM 10,30 CR 1","2023-09-01T03:11Z","500",,"POLICIA MUNICIPAL","SOBREPASAR LA VELOCIDAD MÁXIMA EN VÍAS LIMITADAS EN 60 KM/H O MÁS.","(,)","Madrid"